,fid,name,kcal
388,15011012,쑥떡,215
389,15011013,약식,244
390,15011014,인절미,220
391,15011015,절편,220
392,15011016,증편,193
393,15011017,찹쌀떡,118
394,16011001,매작과,37
395,16011002,다식,137
396,16011003,약과,172
397,16011004,유과,405
398,16011005,산자,63
399,16011006,깨강정,450
